生薬名,structures_json,count
カンキョウ,"[{""構造対象"": ""(6)-ショウガオール"", ""検索名"": ""6-shogaol"", ""PubChem CID"": ""5281794"", ""IUPACName"": ""(E)-1-(4-hydroxy-3-methoxyphenyl)dec-4-en-3-one"", ""SMILES"": """", ""InChIKey"": ""OQWKEEOHDMUXEO-BQYQJAHWSA-N"", ""MolecularFormula"": ""C17H24O3"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5281794"", ""class_tags"": [""terpenoid""]}]",1
カンゾウ(末）,"[{""構造対象"": ""グリチルリチン（グリチルリチン酸）"", ""検索名"": ""glycyrrhizin"", ""PubChem CID"": ""14982"", ""IUPACName"": ""(2S,3S,4S,5R,6R)-6-[(2S,3R,4S,5S,6S)-2-[[(3S,4aR,6aR,6bS,8aS,11S,12aR,14aR,14bS)-11-carboxy-4,4,6a,6b,8a,11,14b-heptamethyl-14-oxo-2,3,4a,5,6,7,8,9,10,12,12a,14a-dodecahydro-1H-picen-3-yl]oxy]-6-carboxy-4,5-dihydroxyoxan-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid"", ""SMILES"": """", ""InChIKey"": ""LPLVUJXQOOQHMX-QWBHMCJMSA-N"", ""MolecularFormula"": ""C42H62O16"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/14982"", ""class_tags"": [""glycoside""]}, {""構造対象"": ""イソリキリチゲニン"", ""検索名"": ""isoliquiritigenin"", ""PubChem CID"": ""638278"", ""IUPACName"": ""(E)-1-(2,4-dihydroxyphenyl)-3-(4-hydroxyphenyl)prop-2-en-1-one"", ""SMILES"": """", ""InChIKey"": ""DXDRHHKMWQZJHT-FPYGCLRLSA-N"", ""MolecularFormula"": ""C15H12O4"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/638278"", ""class_tags"": []}, {""構造対象"": ""イソリキリチン"", ""検索名"": ""isoliquiritin"", ""PubChem CID"": ""5318591"", ""IUPACName"": ""(E)-1-(2,4-dihydroxyphenyl)-3-[4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]prop-2-en-1-one"", ""SMILES"": """", ""InChIKey"": ""YNWXJFQOCHMPCK-LXGDFETPSA-N"", ""MolecularFormula"": ""C21H22O9"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5318591"", ""class_tags"": []}]",3
キキョウ(末）,"[{""構造対象"": ""プラティコジン（プラティコディン）類"", ""検索名"": ""platycodin"", ""PubChem CID"": """", ""IUPACName"": """", ""SMILES"": """", ""InChIKey"": """", ""MolecularFormula"": """", ""PubChem URL"": """", ""class_tags"": []}]",1
キョウニン,"[{""構造対象"": ""アミグダリン"", ""検索名"": ""amygdalin"", ""PubChem CID"": ""656516"", ""IUPACName"": ""(2R)-2-phenyl-2-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxyacetonitrile"", ""SMILES"": """", ""InChIKey"": ""XUCIJNAGGSZNQT-JHSLDZJXSA-N"", ""MolecularFormula"": ""C20H27NO11"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/656516"", ""class_tags"": [""glycoside""]}]",1
ケイヒ（末）,"[{""構造対象"": ""シンナムアルデヒド（ケイヒアルデヒド）"", ""検索名"": ""cinnamaldehyde"", ""PubChem CID"": ""637511"", ""IUPACName"": ""(E)-3-phenylprop-2-enal"", ""SMILES"": """", ""InChIKey"": ""KJPRLNWUNMBNBZ-QPJJXVBHSA-N"", ""MolecularFormula"": ""C9H8O"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/637511"", ""class_tags"": [""phenylpropanoid""]}, {""構造対象"": ""シンナムタンニン"", ""検索名"": ""cinnamtannin B1"", ""PubChem CID"": ""475277"", ""IUPACName"": ""(1R,5R,6R,7S,13S,21R)-5,13-bis(3,4-dihydroxyphenyl)-7-[(2R,3R)-2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-3,4-dihydro-2H-chromen-8-yl]-4,12,14-trioxapentacyclo[11.7.1.02,11.03,8.015,20]henicosa-2(11),3(8),9,15,17,19-hexaene-6,9,17,19,21-pentol"", ""SMILES"": """", ""InChIKey"": ""BYSRPHRKESMCPO-LQNPQWRQSA-N"", ""MolecularFormula"": ""C45H36O18"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/475277"", ""class_tags"": [""tannin""]}]",2
ケツメイシ,"[{""構造対象"": ""エモジン"", ""検索名"": ""emodin"", ""PubChem CID"": ""3220"", ""IUPACName"": ""1,3,8-trihydroxy-6-methylanthracene-9,10-dione"", ""SMILES"": """", ""InChIKey"": ""RHMXXJGYXNZAPX-UHFFFAOYSA-N"", ""MolecularFormula"": ""C15H10O5"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/3220"", ""class_tags"": [""anthraquinone""]}, {""構造対象"": ""オブツシン"", ""検索名"": ""obtusin"", ""PubChem CID"": ""155380"", ""IUPACName"": ""1,7-dihydroxy-2,3,8-trimethoxy-6-methylanthracene-9,10-dione"", ""SMILES"": """", ""InChIKey"": ""CFLNHFUPWNRWJA-UHFFFAOYSA-N"", ""MolecularFormula"": ""C18H16O7"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/155380"", ""class_tags"": [""anthraquinone""]}, {""構造対象"": ""オブツシホリン"", ""検索名"": ""obtusifolin"", ""PubChem CID"": ""3083575"", ""IUPACName"": ""2,8-dihydroxy-1-methoxy-3-methylanthracene-9,10-dione"", ""SMILES"": """", ""InChIKey"": ""NYRXUBDGDSRBGB-UHFFFAOYSA-N"", ""MolecularFormula"": ""C16H12O5"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/3083575"", ""class_tags"": [""anthraquinone""]}, {""構造対象"": ""クリソファノール"", ""検索名"": ""chrysophanol"", ""PubChem CID"": ""10208"", ""IUPACName"": ""1,8-dihydroxy-3-methylanthracene-9,10-dione"", ""SMILES"": """", ""InChIKey"": ""LQGUBLBATBMXHT-UHFFFAOYSA-N"", ""MolecularFormula"": ""C15H10O4"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/10208"", ""class_tags"": [""anthraquinone""]}]",4
ゲンチアナ（末）,"[{""構造対象"": ""ゲンチオピクロシド"", ""検索名"": ""gentiopicroside"", ""PubChem CID"": ""88708"", ""IUPACName"": ""(3S,4R)-4-ethenyl-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4,6-dihydro-3H-pyrano[3,4-c]pyran-8-one"", ""SMILES"": """", ""InChIKey"": ""DUAGQYUORDTXOR-GPQRQXLASA-N"", ""MolecularFormula"": ""C16H20O9"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/88708"", ""class_tags"": [""glycoside""]}]",1
コウカ,"[{""構造対象"": ""カーサミン（紅色色素）"", ""検索名"": ""carthamin"", ""PubChem CID"": ""135565560"", ""IUPACName"": ""(2Z,6S)-5,6-dihydroxy-4-[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]-6-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-2-[[(3S)-2,3,4-trihydroxy-5-[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]-6-oxo-3-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]cyclohexa-1,4-dien-1-yl]methylidene]cyclohex-4-ene-1,3-dione"", ""SMILES"": """", ""InChIKey"": ""WLYGSPLCNKYESI-RSUQVHIMSA-N"", ""MolecularFormula"": ""C43H42O22"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/135565560"", ""class_tags"": []}, {""構造対象"": ""サフロミンA"", ""検索名"": ""safflomin A"", ""PubChem CID"": ""6443665"", ""IUPACName"": ""(6E)-2,5-dihydroxy-6-[(E)-1-hydroxy-3-(4-hydroxyphenyl)prop-2-enylidene]-2,4-bis[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]cyclohex-4-ene-1,3-dione"", ""SMILES"": """", ""InChIKey"": ""IAVUBSCVWHLRGE-UXEKTNMQSA-N"", ""MolecularFormula"": ""C27H32O16"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/6443665"", ""class_tags"": [""phenylpropanoid""]}, {""構造対象"": ""サフロミンB（黄色色素）"", ""検索名"": ""safflomin B"", ""PubChem CID"": ""175691878"", ""IUPACName"": ""(6E)-4-[(2S,3R,4R,5R)-1-[(3E)-2,5-dihydroxy-3-[(E)-1-hydroxy-3-(4-hydroxyphenyl)prop-2-enylidene]-4,6-dioxo-5-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]cyclohexen-1-yl]-2,3,4,5,6-pentahydroxyhexyl]-2,5-dihydroxy-6-[(E)-1-hydroxy-3-(4-hydroxyphenyl)prop-2-enylidene]-2-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]cyclohex-4-ene-1,3-dione"", ""SMILES"": """", ""InChIKey"": ""STJDRLLBELOEQZ-JQONNVRVSA-N"", ""MolecularFormula"": ""C48H54O27"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/175691878"", ""class_tags"": [""phenylpropanoid""]}]",3
サイコ,"[{""構造対象"": ""サイコサポニンa"", ""検索名"": ""saikosaponin a"", ""PubChem CID"": ""167928"", ""IUPACName"": ""(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-3,5-dihydroxy-2-[[(1S,2S,4S,5R,8R,9R,10S,13S,14R,17S,18R)-2-hydroxy-9-(hydroxymethyl)-4,5,9,13,20,20-hexamethyl-24-oxahexacyclo[15.5.2.01,18.04,17.05,14.08,13]tetracos-15-en-10-yl]oxy]-6-methyloxan-4-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"", ""SMILES"": """", ""InChIKey"": ""KYWSCMDFVARMPN-MSSMMRRTSA-N"", ""MolecularFormula"": ""C42H68O13"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/167928"", ""class_tags"": [""saponin""]}, {""構造対象"": ""サイコサポニンd"", ""検索名"": ""saikosaponin d"", ""PubChem CID"": ""107793"", ""IUPACName"": ""(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-3,5-dihydroxy-2-[[(1S,2R,4S,5R,8R,9R,10S,13S,14R,17S,18R)-2-hydroxy-9-(hydroxymethyl)-4,5,9,13,20,20-hexamethyl-24-oxahexacyclo[15.5.2.01,18.04,17.05,14.08,13]tetracos-15-en-10-yl]oxy]-6-methyloxan-4-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol"", ""SMILES"": """", ""InChIKey"": ""KYWSCMDFVARMPN-LCSVLAELSA-N"", ""MolecularFormula"": ""C42H68O13"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/107793"", ""class_tags"": [""saponin""]}]",2
サンシシ（末）,"[{""構造対象"": ""クロシン"", ""検索名"": ""crocin"", ""PubChem CID"": ""5281233"", ""IUPACName"": ""bis[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl] (2E,4E,6E,8E,10E,12E,14E)-2,6,11,15-tetramethylhexadeca-2,4,6,8,10,12,14-heptaenedioate"", ""SMILES"": """", ""InChIKey"": ""SEBIKDIMAPSUBY-RTJKDTQDSA-N"", ""MolecularFormula"": ""C44H64O24"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5281233"", ""class_tags"": []}, {""構造対象"": ""ゲニポシド"", ""検索名"": ""geniposide"", ""PubChem CID"": ""107848"", ""IUPACName"": ""methyl (1S,4aS,7aS)-7-(hydroxymethyl)-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylate"", ""SMILES"": """", ""InChIKey"": ""IBFYXTRXDNAPMM-BVTMAQQCSA-N"", ""MolecularFormula"": ""C17H24O10"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/107848"", ""class_tags"": [""glycoside""]}, {""構造対象"": ""ゲニポシド（重複記載）"", ""検索名"": ""geniposide"", ""PubChem CID"": ""107848"", ""IUPACName"": ""methyl (1S,4aS,7aS)-7-(hydroxymethyl)-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylate"", ""SMILES"": """", ""InChIKey"": ""IBFYXTRXDNAPMM-BVTMAQQCSA-N"", ""MolecularFormula"": ""C17H24O10"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/107848"", ""class_tags"": [""glycoside""]}]",3
