生薬名,structures_json,count
サンシュユ,"[{""構造対象"": ""ロガニン（苦味質）"", ""検索名"": ""loganin"", ""PubChem CID"": ""87691"", ""IUPACName"": ""methyl (1S,4aS,6S,7R,7aS)-6-hydroxy-7-methyl-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,4a,5,6,7,7a-hexahydrocyclopenta[c]pyran-4-carboxylate"", ""SMILES"": """", ""InChIKey"": ""AMBQHHVBBHTQBF-UOUCRYGSSA-N"", ""MolecularFormula"": ""C17H26O10"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/87691"", ""class_tags"": []}]",1
サンショウ（末）,"[{""構造対象"": ""サンショール"", ""検索名"": ""sanshool"", ""PubChem CID"": ""6440935"", ""IUPACName"": ""(2E,6Z,8E,10E)-N-(2-methylpropyl)dodeca-2,6,8,10-tetraenamide"", ""SMILES"": """", ""InChIKey"": ""SBXYHCVXUCYYJT-UEOYEZOQSA-N"", ""MolecularFormula"": ""C16H25NO"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/6440935"", ""class_tags"": [""possible_alkaloid""]}, {""構造対象"": ""dℓ-リモネン"", ""検索名"": ""limonene"", ""PubChem CID"": ""22311"", ""IUPACName"": ""1-methyl-4-prop-1-en-2-ylcyclohexene"", ""SMILES"": """", ""InChIKey"": ""XMGQYMWWDOXHJM-UHFFFAOYSA-N"", ""MolecularFormula"": ""C10H16"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/22311"", ""class_tags"": [""terpenoid""]}, {""構造対象"": ""シトロネラール"", ""検索名"": ""citronellal"", ""PubChem CID"": ""7794"", ""IUPACName"": ""3,7-dimethyloct-6-enal"", ""SMILES"": """", ""InChIKey"": ""NEHNMFOYXAPHSD-UHFFFAOYSA-N"", ""MolecularFormula"": ""C10H18O"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/7794"", ""class_tags"": []}]",3
シャクヤク（末）,"[{""構造対象"": ""ペオニフロリン"", ""検索名"": ""paeoniflorin"", ""PubChem CID"": ""442534"", ""IUPACName"": ""[(1R,2S,3R,5R,6R,8S)-6-hydroxy-8-methyl-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-9,10-dioxatetracyclo[4.3.1.02,5.03,8]decan-2-yl]methyl benzoate"", ""SMILES"": """", ""InChIKey"": ""YKRGDOXKVOZESV-WRJNSLSBSA-N"", ""MolecularFormula"": ""C23H28O11"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/442534"", ""class_tags"": []}]",1
ショウキョウ（末）,"[{""構造対象"": ""6-ギンゲロール"", ""検索名"": ""6-gingerol"", ""PubChem CID"": ""442793"", ""IUPACName"": ""(5S)-5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)decan-3-one"", ""SMILES"": """", ""InChIKey"": ""NLDDIKRKFXEWBK-AWEZNQCLSA-N"", ""MolecularFormula"": ""C17H26O4"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/442793"", ""class_tags"": [""terpenoid""]}, {""構造対象"": ""ジンゲロン"", ""検索名"": ""zingerone"", ""PubChem CID"": ""31211"", ""IUPACName"": ""4-(4-hydroxy-3-methoxyphenyl)butan-2-one"", ""SMILES"": """", ""InChIKey"": ""OJYLAHXKWMRDGS-UHFFFAOYSA-N"", ""MolecularFormula"": ""C11H14O3"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/31211"", ""class_tags"": []}, {""構造対象"": ""ジンギベレン"", ""検索名"": ""zingiberene"", ""PubChem CID"": ""92776"", ""IUPACName"": ""(5R)-2-methyl-5-[(2S)-6-methylhept-5-en-2-yl]cyclohexa-1,3-diene"", ""SMILES"": """", ""InChIKey"": ""KKOXKGNSUHTUBV-LSDHHAIUSA-N"", ""MolecularFormula"": ""C15H24"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/92776"", ""class_tags"": [""terpenoid""]}]",3
セネガ（末）,"[{""構造対象"": ""セネギン類"", ""検索名"": ""senegin"", ""PubChem CID"": ""12442762"", ""IUPACName"": ""(2S,3R,4S,4aR,6aR,8aS,12aS,13S,14aR,14bR)-13-(chloromethyl)-2,3-dihydroxy-4,6a,11,11,14b-pentamethyl-2,3,4a,5,6,7,8,9,10,12,12a,13,14,14a-tetradecahydro-1H-picene-4,8a-dicarboxylic acid"", ""SMILES"": """", ""InChIKey"": ""CWHJIJJSDGEHNS-MYLFLSLOSA-N"", ""MolecularFormula"": ""C30H45ClO6"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/12442762"", ""class_tags"": []}]",1
センキュウ（末）,"[{""構造対象"": ""クニジリド"", ""検索名"": ""cnidilide"", ""PubChem CID"": ""160710"", ""IUPACName"": ""(3S,3aS,7aR)-3-butyl-3a,4,5,7a-tetrahydro-3H-2-benzofuran-1-one"", ""SMILES"": """", ""InChIKey"": ""UXDIXFDKSPCUIX-AXFHLTTASA-N"", ""MolecularFormula"": ""C12H18O2"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/160710"", ""class_tags"": []}, {""構造対象"": ""リグスチリド"", ""検索名"": ""ligustilide"", ""PubChem CID"": ""5319022"", ""IUPACName"": ""(3Z)-3-butylidene-4,5-dihydro-2-benzofuran-1-one"", ""SMILES"": """", ""InChIKey"": ""IQVQXVFMNOFTMU-FLIBITNWSA-N"", ""MolecularFormula"": ""C12H14O2"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5319022"", ""class_tags"": []}, {""構造対象"": ""ネオクニジリド"", ""検索名"": ""neocnidilide"", ""PubChem CID"": ""3083857"", ""IUPACName"": ""(3S,3aR)-3-butyl-3a,4,5,6-tetrahydro-3H-2-benzofuran-1-one"", ""SMILES"": """", ""InChIKey"": ""UPJFTVFLSIQQAV-KOLCDFICSA-N"", ""MolecularFormula"": ""C12H18O2"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/3083857"", ""class_tags"": []}, {""構造対象"": ""ブチリデンフタリド"", ""検索名"": ""butylidenephthalide"", ""PubChem CID"": ""5352899"", ""IUPACName"": ""(3E)-3-butylidene-2-benzofuran-1-one"", ""SMILES"": """", ""InChIKey"": ""WMBOCUXXNSOQHM-DHZHZOJOSA-N"", ""MolecularFormula"": ""C12H12O2"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5352899"", ""class_tags"": []}, {""構造対象"": ""スウェルチシン"", ""検索名"": ""swertisin"", ""PubChem CID"": ""124034"", ""IUPACName"": ""5-hydroxy-2-(4-hydroxyphenyl)-7-methoxy-6-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one"", ""SMILES"": """", ""InChIKey"": ""ABRULANJVVJLFI-DGHBBABESA-N"", ""MolecularFormula"": ""C22H22O10"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/124034"", ""class_tags"": []}]",5
センナ（末）,"[{""構造対象"": ""センノシドA"", ""検索名"": ""sennoside A"", ""PubChem CID"": ""73111"", ""IUPACName"": ""(9R)-9-[(9R)-2-carboxy-4-hydroxy-10-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-9H-anthracen-9-yl]-4-hydroxy-10-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-9H-anthracene-2-carboxylic acid"", ""SMILES"": """", ""InChIKey"": ""IPQVTOJGNYVQEO-KGFNBKMBSA-N"", ""MolecularFormula"": ""C42H38O20"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/73111"", ""class_tags"": [""anthraquinone"", ""glycoside""]}, {""構造対象"": ""センノシドB"", ""検索名"": ""sennoside B"", ""PubChem CID"": ""91440"", ""IUPACName"": ""(9S)-9-[(9R)-2-carboxy-4-hydroxy-10-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-9H-anthracen-9-yl]-4-hydroxy-10-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-9H-anthracene-2-carboxylic acid"", ""SMILES"": """", ""InChIKey"": ""IPQVTOJGNYVQEO-AIFLABODSA-N"", ""MolecularFormula"": ""C42H38O20"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/91440"", ""class_tags"": [""anthraquinone"", ""glycoside""]}]",2
ソウジュツ（末）,"[{""構造対象"": ""ヒネソール"", ""検索名"": ""hinesol"", ""PubChem CID"": ""10878761"", ""IUPACName"": ""2-[(3R,5S,6S)-6,10-dimethylspiro[4.5]dec-9-en-3-yl]propan-2-ol"", ""SMILES"": """", ""InChIKey"": ""ICWHTQRTTHCUHW-GZBFAFLISA-N"", ""MolecularFormula"": ""C15H26O"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/10878761"", ""class_tags"": []}, {""構造対象"": ""β－オイデスモール"", ""検索名"": ""beta-eudesmol"", ""PubChem CID"": ""91457"", ""IUPACName"": ""2-[(2R,4aR,8aS)-4a-methyl-8-methylidene-1,2,3,4,5,6,7,8a-octahydronaphthalen-2-yl]propan-2-ol"", ""SMILES"": """", ""InChIKey"": ""BOPIMTNSYWYZOC-VNHYZAJKSA-N"", ""MolecularFormula"": ""C15H26O"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/91457"", ""class_tags"": [""terpenoid""]}, {""構造対象"": ""アトラクチロージン"", ""検索名"": ""atractylodin"", ""PubChem CID"": ""5321047"", ""IUPACName"": ""2-[(1E,7E)-nona-1,7-dien-3,5-diynyl]furan"", ""SMILES"": """", ""InChIKey"": ""GRBKWAXRYIITKG-QFMFQGICSA-N"", ""MolecularFormula"": ""C13H10O"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5321047"", ""class_tags"": [""terpenoid""]}]",3
タイソウ,"[{""構造対象"": ""ジジプスサポニン類"", ""検索名"": ""ziziphus saponin"", ""PubChem CID"": """", ""IUPACName"": """", ""SMILES"": """", ""InChIKey"": """", ""MolecularFormula"": """", ""PubChem URL"": """", ""class_tags"": [""saponin""]}, {""構造対象"": ""ジュジュポシド類"", ""検索名"": ""jujuboside"", ""PubChem CID"": """", ""IUPACName"": """", ""SMILES"": """", ""InChIKey"": """", ""MolecularFormula"": """", ""PubChem URL"": """", ""class_tags"": [""glycoside"", ""saponin""]}]",2
ダイオウ（末）,"[{""構造対象"": ""センノシドA"", ""検索名"": ""sennoside A"", ""PubChem CID"": ""73111"", ""IUPACName"": ""(9R)-9-[(9R)-2-carboxy-4-hydroxy-10-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-9H-anthracen-9-yl]-4-hydroxy-10-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-9H-anthracene-2-carboxylic acid"", ""SMILES"": """", ""InChIKey"": ""IPQVTOJGNYVQEO-KGFNBKMBSA-N"", ""MolecularFormula"": ""C42H38O20"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/73111"", ""class_tags"": [""anthraquinone"", ""glycoside""]}, {""構造対象"": ""レイン"", ""検索名"": ""rhein"", ""PubChem CID"": ""10168"", ""IUPACName"": ""4,5-dihydroxy-9,10-dioxoanthracene-2-carboxylic acid"", ""SMILES"": """", ""InChIKey"": ""FCDLCPWAQCPTKC-UHFFFAOYSA-N"", ""MolecularFormula"": ""C15H8O6"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/10168"", ""class_tags"": [""anthraquinone""]}, {""構造対象"": ""アロエエモジン"", ""検索名"": ""aloe-emodin"", ""PubChem CID"": ""10207"", ""IUPACName"": ""1,8-dihydroxy-3-(hydroxymethyl)anthracene-9,10-dione"", ""SMILES"": """", ""InChIKey"": ""YDQWDHRMZQUTBA-UHFFFAOYSA-N"", ""MolecularFormula"": ""C15H10O5"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/10207"", ""class_tags"": [""anthraquinone""]}, {""構造対象"": ""クリソファノール アントラキノン類"", ""検索名"": ""chrysophanol"", ""PubChem CID"": ""10208"", ""IUPACName"": ""1,8-dihydroxy-3-methylanthracene-9,10-dione"", ""SMILES"": """", ""InChIKey"": ""LQGUBLBATBMXHT-UHFFFAOYSA-N"", ""MolecularFormula"": ""C15H10O4"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/10208"", ""class_tags"": [""anthraquinone""]}, {""構造対象"": ""ラタンニン"", ""検索名"": ""rhatannin"", ""PubChem CID"": ""177824583"", ""IUPACName"": ""[(2R,3R)-2-(3,4-dihydroxyphenyl)-8-[(2R,3R,4S)-2-(3,4-dihydroxyphenyl)-8-[(2R,3R,4R)-2-(3,4-dihydroxyphenyl)-8-[(2R,3R,4R)-2-(3,4-dihydroxyphenyl)-8-[(2R,3R,4R)-2-(3,4-dihydroxyphenyl)-8-[(2R,3R,4R)-2-(3,4-dihydroxyphenyl)-8-[(2R,3R,4R)-2-(3,4-dihydroxyphenyl)-8-[(2R,3R,4R)-2-(3,4-dihydroxyphenyl)-8-[(2R,3R,4R)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-(3,4,5-trihydroxybenzoyl)oxy-3,4-dihydro-2H-chromen-4-yl]-5,7-dihydroxy-3-(3,4,5-trihydroxybenzoyl)oxy-3,4-dihydro-2H-chromen-4-yl]-5,7-dihydroxy-3-(3,4,5-trihydroxybenzoyl)oxy-3,4-dihydro-2H-chromen-4-yl]-5,7-dihydroxy-3-(3,4,5-trihydroxybenzoyl)oxy-3,4-dihydro-2H-chromen-4-yl]-5,7-dihydroxy-3-(3,4,5-trihydroxybenzoyl)oxy-3,4-dihydro-2H-chromen-4-yl]-5,7-dihydroxy-3-(3,4,5-trihydroxybenzoyl)oxy-3,4-dihydro-2H-chromen-4-yl]-5,7-dihydroxy-3-(3,4,5-trihydroxybenzoyl)oxy-3,4-dihydro-2H-chromen-4-yl]-5,7-dihydroxy-3-(3,4,5-trihydroxybenzoyl)oxy-3,4-dihydro-2H-chromen-4-yl]-5,7-dihydroxy-3,4-dihydro-2H-chromen-3-yl] 3,4,5-trihydroxybenzoate"", ""SMILES"": """", ""InChIKey"": ""HFMJCOYLLFULKY-GMCJJGNHSA-N"", ""MolecularFormula"": ""C198H146O90"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/177824583"", ""class_tags"": [""tannin""]}]",5
チョウジ（末）,"[{""構造対象"": ""オイゲノール"", ""検索名"": ""eugenol"", ""PubChem CID"": ""3314"", ""IUPACName"": ""2-methoxy-4-prop-2-enylphenol"", ""SMILES"": """", ""InChIKey"": ""RRAFCDWBNXTKKO-UHFFFAOYSA-N"", ""MolecularFormula"": ""C10H12O2"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/3314"", ""class_tags"": [""phenylpropanoid""]}]",1
チョウトウコウ,"[{""構造対象"": ""リンコフィリン"", ""検索名"": ""rhynchophylline"", ""PubChem CID"": ""5281408"", ""IUPACName"": ""methyl (E)-2-[(3R,6'R,7'S,8'aS)-6'-ethyl-2-oxospiro[1H-indole-3,1'-3,5,6,7,8,8a-hexahydro-2H-indolizine]-7'-yl]-3-methoxyprop-2-enoate"", ""SMILES"": """", ""InChIKey"": ""DAXYUDFNWXHGBE-KAXDATADSA-N"", ""MolecularFormula"": ""C22H28N2O4"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5281408"", ""class_tags"": [""alkaloid""]}]",1
チョレイ（末）,"[{""構造対象"": ""エルゴステロール"", ""検索名"": ""ergosterol"", ""PubChem CID"": ""444679"", ""IUPACName"": ""(3S,9S,10R,13R,14R,17R)-17-[(E,2R,5R)-5,6-dimethylhept-3-en-2-yl]-10,13-dimethyl-2,3,4,9,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-ol"", ""SMILES"": """", ""InChIKey"": ""DNVPQKQSNYMLRS-APGDWVJJSA-N"", ""MolecularFormula"": ""C28H44O"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/444679"", ""class_tags"": [""steroid""]}, {""構造対象"": ""パチマン"", ""検索名"": ""pachyman"", ""PubChem CID"": """", ""IUPACName"": """", ""SMILES"": """", ""InChIKey"": """", ""MolecularFormula"": """", ""PubChem URL"": """", ""class_tags"": [""polysaccharide""]}]",2
トウキ（末）,"[{""構造対象"": ""リグスチリド"", ""検索名"": ""ligustilide"", ""PubChem CID"": ""5319022"", ""IUPACName"": ""(3Z)-3-butylidene-4,5-dihydro-2-benzofuran-1-one"", ""SMILES"": """", ""InChIKey"": ""IQVQXVFMNOFTMU-FLIBITNWSA-N"", ""MolecularFormula"": ""C12H14O2"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5319022"", ""class_tags"": []}, {""構造対象"": ""ブチリデンフィタリド"", ""検索名"": ""butylidenephthalide"", ""PubChem CID"": ""5352899"", ""IUPACName"": ""(3E)-3-butylidene-2-benzofuran-1-one"", ""SMILES"": """", ""InChIKey"": ""WMBOCUXXNSOQHM-DHZHZOJOSA-N"", ""MolecularFormula"": ""C12H12O2"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5352899"", ""class_tags"": []}, {""構造対象"": ""ウンベリフェロン"", ""検索名"": ""umbelliferone"", ""PubChem CID"": ""5281426"", ""IUPACName"": ""7-hydroxychromen-2-one"", ""SMILES"": """", ""InChIKey"": ""ORHBXUUXSCNDEV-UHFFFAOYSA-N"", ""MolecularFormula"": ""C9H6O3"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5281426"", ""class_tags"": [""coumarin""]}, {""構造対象"": ""スコポレチン"", ""検索名"": ""scopoletin"", ""PubChem CID"": ""5280460"", ""IUPACName"": ""7-hydroxy-6-methoxychromen-2-one"", ""SMILES"": """", ""InChIKey"": ""RODXRVNMMDRFIK-UHFFFAOYSA-N"", ""MolecularFormula"": ""C10H8O4"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5280460"", ""class_tags"": [""coumarin""]}, {""構造対象"": ""ベルガプテン"", ""検索名"": ""bergapten"", ""PubChem CID"": ""2355"", ""IUPACName"": ""4-methoxyfuro[3,2-g]chromen-7-one"", ""SMILES"": """", ""InChIKey"": ""BGEBZHIAGXMEMV-UHFFFAOYSA-N"", ""MolecularFormula"": ""C12H8O4"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/2355"", ""class_tags"": [""coumarin""]}, {""構造対象"": ""プソラレン"", ""検索名"": ""psoralen"", ""PubChem CID"": ""6199"", ""IUPACName"": ""furo[3,2-g]chromen-7-one"", ""SMILES"": """", ""InChIKey"": ""ZCCUUQDIBDJBTK-UHFFFAOYSA-N"", ""MolecularFormula"": ""C11H6O3"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/6199"", ""class_tags"": [""coumarin""]}, {""構造対象"": ""キサントシン"", ""検索名"": ""xanthotoxin"", ""PubChem CID"": ""4114"", ""IUPACName"": ""9-methoxyfuro[3,2-g]chromen-7-one"", ""SMILES"": """", ""InChIKey"": ""QXKHYNVANLEOEG-UHFFFAOYSA-N"", ""MolecularFormula"": ""C12H8O4"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/4114"", ""class_tags"": [""coumarin""]}, {""構造対象"": ""ファルカリノール（パナキシノール）"", ""検索名"": ""falcarinol"", ""PubChem CID"": ""5281149"", ""IUPACName"": ""(3R,9Z)-heptadeca-1,9-dien-4,6-diyn-3-ol"", ""SMILES"": """", ""InChIKey"": ""UGJAEDFOKNAMQD-QXPKXGMISA-N"", ""MolecularFormula"": ""C17H24O"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5281149"", ""class_tags"": []}, {""構造対象"": ""ファルカリンジオール"", ""検索名"": ""falcarindiol"", ""PubChem CID"": ""5281148"", ""IUPACName"": ""(3R,8S,9Z)-heptadeca-1,9-dien-4,6-diyne-3,8-diol"", ""SMILES"": """", ""InChIKey"": ""QWCNQXNAFCBLLV-YWALDVPYSA-N"", ""MolecularFormula"": ""C17H24O2"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5281148"", ""class_tags"": []}]",9
トウヒ,"[{""構造対象"": ""d-リモネン"", ""検索名"": ""d-limonene"", ""PubChem CID"": ""440917"", ""IUPACName"": ""(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene"", ""SMILES"": """", ""InChIKey"": ""XMGQYMWWDOXHJM-JTQLQIEISA-N"", ""MolecularFormula"": ""C10H16"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/440917"", ""class_tags"": [""terpenoid""]}, {""構造対象"": ""ナリンギン"", ""検索名"": ""naringin"", ""PubChem CID"": ""442428"", ""IUPACName"": ""(2S)-7-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-5-hydroxy-2-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one"", ""SMILES"": """", ""InChIKey"": ""DFPMSGMNTNDNHN-ZPHOTFPESA-N"", ""MolecularFormula"": ""C27H32O14"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/442428"", ""class_tags"": [""flavonoid"", ""glycoside""]}, {""構造対象"": ""ヘスペリジン"", ""検索名"": ""hesperidin"", ""PubChem CID"": ""10621"", ""IUPACName"": ""(2S)-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxy-2,3-dihydrochromen-4-one"", ""SMILES"": """", ""InChIKey"": ""QUQPHWDTPGMPEX-QJBIFVCTSA-N"", ""MolecularFormula"": ""C28H34O15"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/10621"", ""class_tags"": [""flavonoid"", ""glycoside""]}, {""構造対象"": ""リモニン"", ""検索名"": ""limonin"", ""PubChem CID"": ""179651"", ""IUPACName"": ""(1R,2R,7S,10R,13R,14R,16S,19S,20S)-19-(furan-3-yl)-9,9,13,20-tetramethyl-4,8,15,18-tetraoxahexacyclo[11.9.0.02,7.02,10.014,16.014,20]docosane-5,12,17-trione"", ""SMILES"": """", ""InChIKey"": ""KBDSLGBFQAGHBE-MSGMIQHVSA-N"", ""MolecularFormula"": ""C26H30O8"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/179651"", ""class_tags"": []}]",4
ニンジン（末）,"[{""構造対象"": ""ギンセノシドRb1"", ""検索名"": ""ginsenoside Rb1"", ""PubChem CID"": ""9898279"", ""IUPACName"": ""(2R,3R,4S,5S,6R)-2-[[(2R,3S,4S,5R,6S)-6-[(2S)-2-[(3S,5R,8R,9R,10R,12R,13R,14R,17S)-3-[(2R,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-12-hydroxy-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl]-6-methylhept-5-en-2-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol"", ""SMILES"": """", ""InChIKey"": ""GZYPWOGIYAIIPV-JBDTYSNRSA-N"", ""MolecularFormula"": ""C54H92O23"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/9898279"", ""class_tags"": [""glycoside"", ""saponin"", ""steroid""]}, {""構造対象"": ""ギンセノシドRg1"", ""検索名"": ""ginsenoside Rg1"", ""PubChem CID"": ""441923"", ""IUPACName"": ""(2R,3R,4S,5S,6R)-2-[[(3S,5R,6S,8R,9R,10R,12R,13R,14R,17S)-3,12-dihydroxy-4,4,8,10,14-pentamethyl-17-[(2S)-6-methyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-5-en-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol"", ""SMILES"": """", ""InChIKey"": ""YURJSTAIMNSZAE-HHNZYBFYSA-N"", ""MolecularFormula"": ""C42H72O14"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/441923"", ""class_tags"": [""glycoside"", ""saponin"", ""steroid""]}, {""構造対象"": ""デンプン"", ""検索名"": ""starch"", ""PubChem CID"": """", ""IUPACName"": """", ""SMILES"": """", ""InChIKey"": """", ""MolecularFormula"": """", ""PubChem URL"": """", ""class_tags"": [""polysaccharide""]}]",3
ハッカ,"[{""構造対象"": ""（ー）-メントール"", ""検索名"": ""l-menthol"", ""PubChem CID"": ""16666"", ""IUPACName"": ""(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexan-1-ol"", ""SMILES"": """", ""InChIKey"": ""NOOLISFMXDJSKH-KXUCPTDWSA-N"", ""MolecularFormula"": ""C10H20O"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/16666"", ""class_tags"": [""terpenoid""]}]",1
ハンゲ,"[{""構造対象"": ""ホモゲンチシン酸"", ""検索名"": ""homogentisic acid"", ""PubChem CID"": ""780"", ""IUPACName"": ""2-(2,5-dihydroxyphenyl)acetic acid"", ""SMILES"": """", ""InChIKey"": ""IGMNYECMUMZDDF-UHFFFAOYSA-N"", ""MolecularFormula"": ""C8H8O4"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/780"", ""class_tags"": []}, {""構造対象"": ""3,4-ヒドロキシベンズアルデヒド"", ""検索名"": ""3,4-dihydroxybenzaldehyde"", ""PubChem CID"": ""8768"", ""IUPACName"": ""3,4-dihydroxybenzaldehyde"", ""SMILES"": """", ""InChIKey"": ""IBGBGRVKPALMCQ-UHFFFAOYSA-N"", ""MolecularFormula"": ""C7H6O3"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/8768"", ""class_tags"": []}, {""構造対象"": ""これらの配糖体"", ""検索名"": ""glycoside"", ""PubChem CID"": """", ""IUPACName"": """", ""SMILES"": """", ""InChIKey"": """", ""MolecularFormula"": """", ""PubChem URL"": """", ""class_tags"": [""glycoside""]}, {""構造対象"": ""エフェドリン"", ""検索名"": ""ephedrine"", ""PubChem CID"": ""9294"", ""IUPACName"": ""(1R,2S)-2-(methylamino)-1-phenylpropan-1-ol"", ""SMILES"": """", ""InChIKey"": ""KWGRBVOPPLSCSI-WPRPVWTQSA-N"", ""MolecularFormula"": ""C10H15NO"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/9294"", ""class_tags"": [""alkaloid""]}]",4
